
央视频道,#genre#
NewTV惊悚悬疑 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227013/1.m3u8
NewTV明星大片 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227008/1.m3u8
NewTV欢乐剧场 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226969/1.m3u8
NewTV武搏世界 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226320/1.m3u8
NewTV武搏世界 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226992/1.m3u8
NewTV潮妈辣婆 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226286/1.m3u8
NewTV潮妈辣婆 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226980/1.m3u8
NewTV炫舞未来 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226968/1.m3u8
NewTV炫舞未来 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226248/1.m3u8
NewTV爱情喜剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8
NewTV爱情喜剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226989/1.m3u8
NewTV精品体育 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226328/1.m3u8
NewTV精品体育 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226978/1.m3u8
NewTV精品大剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8
NewTV精品大剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226970/1.m3u8
NewTV精品纪录 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226332/1.m3u8
NewTV精品纪录 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226977/1.m3u8
NewTV精品萌宠 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226976/1.m3u8
NewTV超级体育 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8
NewTV超级体育 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226945/1.m3u8
NewTV超级体育 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226348/1.m3u8
NewTV超级电影 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
NewTV超级电影 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226949/1.m3u8
NewTV超级电影 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226369/1.m3u8
NewTV超级电影 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226994/1.m3u8
NewTV超级电视剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226253/1.m3u8
NewTV超级电视剧 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226972/1.m3u8
NewTV超级电视剧 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226368/1.m3u8
NewTV超级电视剧 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226979/1.m3u8
NewTV超级综艺 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
NewTV超级综艺 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226940/1.m3u8
NewTV超级综艺 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226370/1.m3u8
NewTV超级综艺 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226975/1.m3u8
NewTV金牌综艺 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226347/1.m3u8
NewTV金牌综艺 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227004/1.m3u8
黑莓动画 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226935/1.m3u8
黑莓电影 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226939/1.m3u8
哒啵电竞 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226889/1.m3u8
哒啵赛事 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226938/1.m3u8
咪咕全民热练 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227000/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226374/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226375/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226377/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226378/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226379/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226380/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226381/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226382/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226394/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226396/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226398/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226392/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226390/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226372/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226373/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226383/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226384/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226400/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226387/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226389/1.m3u8
咪咕视频 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226388/1.m3u8
咪咕视频 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226565/1.m3u8
咪咕视频 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226566/1.m3u8
咪咕视频 8M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226567/1.m3u8
中视购物 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226345/1.m3u8
央广购物 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226363/1.m3u8
央广购物 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227001/1.m3u8
安徽家家购物 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226971/1.m3u8
山西优购物 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226386/1.m3u8
山西优购物 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226344/1.m3u8
安徽家家购物 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226341/1.m3u8
江西风尚购物 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226993/1.m3u8
江西风尚购物 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226342/1.m3u8
湖南快乐购 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227032/1.m3u8
湖南快乐购 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226325/1.m3u8
湖南快乐购 4M1080,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226982/1.m3u8
CCTV1 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8
CCTV1 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226563/1.m3u8
CCTV1 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226564/1.m3u8
CCTV1 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226513/1.m3u8
CCTV1 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226562/1.m3u8
CCTV2 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226911/1.m3u8
CCTV3 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226456/1.m3u8
CCTV4 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226907/1.m3u8
CCTV5 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226454/1.m3u8
CCTV6 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226453/1.m3u8
CCTV7 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226906/1.m3u8
CCTV8 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226451/1.m3u8
CCTV10 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226918/1.m3u8
CCTV11 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226914/1.m3u8
CCTV12 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226905/1.m3u8
CCTV13 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226339/1.m3u8
CCTV14 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226904/1.m3u8
CCTV15 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226910/1.m3u8
CGTN 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226443/1.m3u8
中国教育3 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226577/1.m3u8
东南卫视 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226909/1.m3u8
吉林卫视 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226886/1.m3u8
安徽卫视 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226902/1.m3u8
河南卫视 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226525/1.m3u8
甘肃卫视 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226545/1.m3u8
辽宁卫视 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226336/1.m3u8
辽宁卫视 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226966/1.m3u8
重庆卫视 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226337/1.m3u8
广东大湾区卫视 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226540/1.m3u8
北京国际 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226510/1.m3u8
北京体育休闲 576,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226515/1.m3u8
CCTV中视购物 4M720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226385/1.m3u8
北京家有购物 4M720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226996/1.m3u8
北京家有购物 720,http://116.130.221.45:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226343/1.m3u8

电信rtsp,#genre#
CCTV-一套,rtsp://222.85.69.145/PLTV/88888888/224/3221226404/10000100000000060000000000398492_0.smil
CCTV-二套,rtsp://222.85.69.145/PLTV/88888888/224/3221226515/10000100000000060000000000414181_0.smil
CCTV-三套,rtsp://222.85.69.145/PLTV/88888888/224/3221226401/10000100000000060000000000398495_0.smil
CCTV-四套,rtsp://222.85.69.145/PLTV/88888888/224/3221226512/10000100000000060000000000414186_0.smil
CCTV-五套,rtsp://222.85.69.141/PLTV/88888888/224/3221226533/10000100000000060000000000416356_0.smil
CCTV-六套,rtsp://222.85.69.145/PLTV/88888888/224/3221226509/10000100000000060000000000414188_0.smil
CCTV-七套,rtsp://222.85.69.145/PLTV/88888888/224/3221226539/10000100000000060000000000416354_0.smil
CCTV-八套,rtsp://222.85.69.145/PLTV/88888888/224/3221226548/10000100000000060000000000416346_0.smil
CCTV-九套,rtsp://222.85.69.145/PLTV/88888888/224/3221226545/10000100000000060000000000416347_0.smil
CCTV-十套,rtsp://222.85.69.145/PLTV/88888888/224/3221226542/10000100000000060000000000416348_0.smil
CCTV-十一套,rtsp://222.85.69.145/PLTV/88888888/224/3221226511/10000100000000060000000000428956_0.smil
CCTV-十二套,rtsp://222.85.69.145/PLTV/88888888/224/3221226514/10000100000000060000000000428961_0.smil
CCTV-新闻,rtsp://222.85.69.145/PLTV/88888888/224/3221226508/10000100000000060000000000428965_0.smil
CCTV-少儿,rtsp://222.85.69.145/PLTV/88888888/224/3221226517/10000100000000060000000000428967_0.smil
CCTV-音乐,rtsp://222.85.69.145/PLTV/88888888/224/3221226520/10000100000000060000000000428969_0.smil
CCTV-16-4K,rtsp://222.85.69.145/PLTV/88888888/224/3221227205/10000100000000060000000002601585_0.smil
CCTV-十七套,rtsp://222.85.69.145/PLTV/88888888/224/3221226551/10000100000000060000000000416344_0.smil
CCTV-5+,rtsp://222.85.69.145/PLTV/88888888/224/3221226583/10000100000000060000000000527265_0.smil
中国教育-1,rtsp://222.85.69.145/PLTV/88888888/224/3221226416/10000100000000060000000000398818_0.smil


河南卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226400/10000100000000060000000000427502_0.smil
都市频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226403/10000100000000060000000000427507_0.smil
民生频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226406/10000100000000060000000000427509_0.smil
法治频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226409/10000100000000060000000000427515_0.smil
电视剧频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226412/10000100000000060000000000427558_0.smil
新闻频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226415/10000100000000060000000000427594_0.smil
公共频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226562/10000100000000060000000000428997_0.smil
乡村频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226632/10000100000000060000000000430974_0.smil
国际频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226635/10000100000000060000000000430975_0.smil
睛彩中原,rtsp://222.85.69.145/PLTV/88888888/224/3221226668/10000100000000060000000000982550_0.smil
移动戏曲,rtsp://222.85.69.145/PLTV/88888888/224/3221226577/10000100000000060000000000489636_0.smil
文物宝库,rtsp://222.85.69.145/PLTV/88888888/224/3221226541/10000100000000060000000000429019_0.smil
梨园频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226544/10000100000000060000000000429017_0.smil
武术世界,rtsp://222.85.69.145/PLTV/88888888/224/3221226568/10000100000000060000000000429030_0.smil
美食汇,rtsp://222.85.69.145/PLTV/88888888/224/3221226644/10000100000000060000000000430982_0.smil
棋牌汇,rtsp://222.85.69.145/PLTV/88888888/224/3221226647/10000100000000060000000000430983_0.smil
调解剧场,rtsp://222.85.69.145/PLTV/88888888/224/3221226638/10000100000000060000000000430976_0.smil
国学频道,rtsp://222.85.69.145/PLTV/88888888/224/3221227059/10000100000000060000000001785209_0.smil
欢腾购物,rtsp://222.85.69.145/PLTV/88888888/224/3221227062/10000100000000060000000001785298_0.smil
浙江卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226586/10000100000000060000000000527296_0.smil
东方卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226592/10000100000000060000000000527306_0.smil
江苏卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226595/10000100000000060000000000527324_0.smil
北京卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226410/10000100000000060000000000398814_0.smil
广东卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226505/10000100000000060000000000428951_0.smil
黑龙江卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226502/10000100000000060000000000428953_0.smil
山东卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226422/10000100000000060000000000398835_0.smil
安徽卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226407/10000100000000060000000000398811_0.smil
辽宁卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226491/10000100000000060000000000400017_0.smil
陕西卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226434/10000100000000060000000000398848_0.smil
贵州卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226425/10000100000000060000000000398838_0.smil
河北卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226446/10000100000000060000000000399661_0.smil
江西卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226449/10000100000000060000000000399662_0.smil
湖南卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226589/10000100000000060000000000527302_0.smil
深圳卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226413/10000100000000060000000000398816_0.smil
四川卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226440/10000100000000060000000000399659_0.smil
湖北卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226443/10000100000000060000000000399660_0.smil
天津卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226488/10000100000000060000000000400018_0.smil
云南卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226431/10000100000000060000000000399658_0.smil
重庆卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226419/10000100000000060000000000398821_0.smil
吉林卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226494/10000100000000060000000000400016_0.smil
宁夏卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226500/10000100000000060000000000400014_0.smil
东南卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226428/10000100000000060000000000398844_0.smil
内蒙古卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226503/10000100000000060000000000400013_0.smil
广西卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226437/10000100000000060000000000398849_0.smil
山西卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226506/10000100000000060000000000400011_0.smil
海南卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226461/10000100000000060000000000400031_0.smil
甘肃卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226523/10000100000000060000000000428972_0.smil
青海卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226496/10000100000000060000000000428955_0.smil
金鹰卡通,rtsp://222.85.69.145/PLTV/88888888/224/3221226526/10000100000000060000000000428974_0.smil
卡酷动画,rtsp://222.85.69.145/PLTV/88888888/224/3221226529/10000100000000060000000000428981_0.smil
新疆卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226497/10000100000000060000000000400015_0.smil
西藏卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226499/10000100000000060000000000428954_0.smil

郑州时政,rtsp://222.85.69.145/PLTV/88888888/224/3221226563/10000100000000060000000000429049_0.smil
郑州商都,rtsp://222.85.69.145/PLTV/88888888/224/3221226566/10000100000000060000000000429053_0.smil
郑州文体,rtsp://222.85.69.145/PLTV/88888888/224/3221226569/10000100000000060000000000429055_0.smil
郑州影视戏曲,rtsp://222.85.69.145/PLTV/88888888/224/3221226572/10000100000000060000000000429057_0.smil
郑州妇女儿童,rtsp://222.85.69.145/PLTV/88888888/224/3221226575/10000100000000060000000000429060_0.smil
郑州都市生活,rtsp://222.85.69.145/PLTV/88888888/224/3221226565/10000100000000060000000000429061_0.smil
开封新闻频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226475/10000100000000060000000000401612_0.smil
开封公共频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226599/10000100000000060000000000430966_0.smil
许昌农业科教,rtsp://222.85.69.145/PLTV/88888888/224/3221226466/10000100000000060000000000401622_0.smil
许昌综合频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226598/10000100000000060000000000527331_0.smil

CCTV-十六套,rtsp://222.85.69.145/PLTV/88888888/224/3221227100/10000100000000060000000001869886_0.smil
河南卫视4K,rtsp://222.85.69.145/PLTV/88888888/224/3221226751/10000100000000060000000001247788_0.smil
全纪实,rtsp://222.85.69.145/PLTV/88888888/224/3221227139/10000100000000060000000001887857_0.smil
老故事,rtsp://222.85.69.145/PLTV/88888888/224/3221227177/10000100000000060000000001890697_0.smil
游戏风云,rtsp://222.85.69.145/PLTV/88888888/224/3221227143/10000100000000060000000001887859_0.smil
财富天下,rtsp://222.85.69.145/PLTV/88888888/224/3221227180/10000100000000060000000001890683_0.smil
中华特产,rtsp://222.85.69.145/PLTV/88888888/224/3221227161/10000100000000060000000001890690_0.smil
七彩戏剧,rtsp://222.85.69.145/PLTV/88888888/224/3221227132/10000100000000060000000001883601_0.smil
金色学堂,rtsp://222.85.69.145/PLTV/88888888/224/3221227136/10000100000000060000000001887869_0.smil
china陶瓷,rtsp://222.85.69.145/PLTV/88888888/224/3221227140/10000100000000060000000001887870_0.smil
都市剧场,rtsp://222.85.69.145/PLTV/88888888/224/3221227118/10000100000000060000000001883592_0.smil
生活时尚,rtsp://222.85.69.145/PLTV/88888888/224/3221227153/10000100000000060000000001887868_0.smil
家庭理财,rtsp://222.85.69.145/PLTV/88888888/224/3221227142/10000100000000060000000001887856_0.smil
茶,rtsp://222.85.69.145/PLTV/88888888/224/3221227109/10000100000000060000000001883606_0.smil
摄影,rtsp://222.85.69.145/PLTV/88888888/224/3221227137/10000100000000060000000001887873_0.smil
书画,rtsp://222.85.69.145/PLTV/88888888/224/3221227167/10000100000000060000000001890687_0.smil
极速汽车,rtsp://222.85.69.145/PLTV/88888888/224/3221227156/10000100000000060000000001887861_0.smil
欢笑剧场,rtsp://222.85.69.145/PLTV/88888888/224/3221227115/10000100000000060000000001883598_0.smil
动漫秀场,rtsp://222.85.69.145/PLTV/88888888/224/3221227112/10000100000000060000000001883599_0.smil
车迷,rtsp://222.85.69.145/PLTV/88888888/224/3221227174/10000100000000060000000001890699_0.smil
先锋乒羽,rtsp://222.85.69.145/PLTV/88888888/224/3221227159/10000100000000060000000001887854_0.smil
快乐垂钓,rtsp://222.85.69.145/PLTV/88888888/224/3221227129/10000100000000060000000001883605_0.smil
法治天地,rtsp://222.85.69.145/PLTV/88888888/224/3221227158/10000100000000060000000001890701_0.smil
环球旅游,rtsp://222.85.69.145/PLTV/88888888/224/3221227164/10000100000000060000000001890689_0.smil
金鹰纪实,rtsp://222.85.69.145/PLTV/88888888/224/3221227158/10000100000000060000000001890701_0.smil
体育赛事,rtsp://222.85.69.145/PLTV/88888888/224/3221227183/10000100000000060000000001890681_0.smil
天元围棋,rtsp://222.85.69.145/PLTV/88888888/224/3221227150/10000100000000060000000001887874_0.smil


电信6,#genre#
CCTV-1,http://222.85.69.145/PLTV/88888888/224/3221227052/index.m3u8
CCTV-2,http://222.85.69.145/PLTV/88888888/224/3221227049/index.m3u8
CCTV-3,http://222.85.69.145/PLTV/88888888/224/3221227053/index.m3u8
CCTV-4,http://222.85.69.145/PLTV/88888888/224/3221227050/index.m3u8
CCTV-5,http://222.85.69.145/PLTV/88888888/224/3221227047/index.m3u8
CCTV-5+,http://222.85.69.145/PLTV/88888888/224/3221227069/index.m3u8
CCTV-6,http://222.85.69.145/PLTV/88888888/224/3221227046/index.m3u8
CCTV-7,http://222.85.69.145/PLTV/88888888/224/3221227084/index.m3u8
CCTV-8,http://222.85.69.145/PLTV/88888888/224/3221227081/index.m3u8
CCTV-9,http://222.85.69.145/PLTV/88888888/224/3221227078/index.m3u8
CCTV-10,http://222.85.69.145/PLTV/88888888/224/3221227043/index.m3u8
CCTV-11,http://222.85.69.145/PLTV/88888888/224/3221227040/index.m3u8
CCTV-12,http://222.85.69.145/PLTV/88888888/224/3221227044/index.m3u8
CCTV-新闻,http://222.85.69.145/PLTV/88888888/224/3221227041/index.m3u8
CCTV-少儿,http://222.85.69.145/PLTV/88888888/224/3221227038/index.m3u8
CCTV-音乐,http://222.85.69.145/PLTV/88888888/224/3221227037/index.m3u8
CCTV-17,http://222.85.69.145/PLTV/88888888/224/3221227072/index.m3u8

中国教育-1,http://222.85.69.145/PLTV/88888888/224/3221227034/index.m3u8
河南卫视,http://222.85.69.145/PLTV/88888888/224/3221226984/index.m3u8
都市频道,http://222.85.69.145/PLTV/88888888/224/3221226974/index.m3u8
